core,depth,upper_age,lower_age,Aulacoseira italica,A.d.cf.laev,Aulacoseira ambigua,Aulacoseira herzogii,A.g.var.angu,A.granul,Discostella stelligera,Cyclotella meneghiniana,Cocconeis placentula,Cymbella 308,Cymbella minor,Cymbella minuta,C.silesiaca,C.gracilis,Eunotia monodon,Eunotia naeglii,Eunotia flexuosa,Eunotia formica,Eunotia minor,Eu.soleirolii,Eu.bilun.var.bi,Eunotia sudetica?,Eunotia flexuosa,Eunotia serra,Eunotia intermedia,Epithemia turgida,E.sorex,E.adnata,Epithemia spp,Diploenis ovalis,Pseudostaurosira elliptica,Pseudostaurosira zeilleri,Pseudostaurosira trainorii,Pseudostaurosirella sp (como pinnata pero mas larga),Staurosira construens,Frag contruens var venter,Staurosirella pinnata,St construens var exigua,Pseudostaurosira brevistriata,Pseudostaurosirella parasitica,Staurosira construens (deformed),Staurosirella cf berolinensis,St leptostauron,St parasitica,P. mimetica,St rhomboides,Stauroneis phoenicenteron,Fragilaria tenera,Tabellaria flocculosa,Gomphosphenia lingulatiformis,Gomphosphenia sp,Gomph gracile,Gomphonema parvulum,Gomphonema aff mexicanum,G.truncatum,G.angustum,Brachysira brebisonii,B.vitrea,Frustulia rhomboides,Craticula riparia,Navicula cryptotenella,Navicula radiosa,Mayamaea sp,N.pseudov,Neidium iridis,Nitzschia amphibia,Nitzschia palea,Orthoseira dendroteres,Orthoseira roeseana,Luticula mutica,Pinnularia borealis,Pinnularia gibba,Pinnularia spp,Pinnularia acrosphaeria,Pinnularia (lg),Pinnularia viridis,P. abaujensis v linearis,Pinnularia maior,Pinnularia brevicostata ?,Achnanthes minutissima,Amphora ovalis,Amphora veneta,Achnanthes lanceolata,Achnanthes spp,Lemnicola hungarica,Navicula spp,Rhopalodia gibba,Gyrosigma acuminatum,Sellaphora alastos
F7,311,6045,6660,0,0,40,0,0,5,105,0,0,0,88,0,9,11,0,0,2,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,63,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,24,2,9,0,0,0,0,37,22,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
F7,339,6660,7055,0,0,31,0,0,0,85,0,0,0,120,0,22,14,0,0,0,0,0,2,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,62,9,10,0,0,0,0,10,8,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
F7,359,7055,7432,0,0,142,0,0,9,87,0,0,0,56,0,17,10,0,0,0,0,0,1,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,16,5,0,0,0,0,4,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,0,0
F7,379,7432,7565,0,0,95,0,0,7,37,0,0,0,107,0,22,23,0,0,2,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,43,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,11,0,0
F7,386,7565,7755,0,0,130,0,0,0,9,0,0,0,77,0,26,10,0,0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,83,28,0,0,0,0,0,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,12,0,0
F7,396,7755,7970,0,0,159,0,0,0,2,0,1,0,39,0,32,15,0,0,0,0,0,2,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,8,0,2,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,64,31,0,0,0,0,2,4,10,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,0,0
F7,409,7970,8265,0,0,50,0,0,0,144,0,0,0,103,0,13,10,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,26,36,0,0,0,0,0,18,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0
F7,429,8265,8530,0,0,280,0,0,21,1,0,0,0,15,0,4,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,50,0,42,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,2,0,0,0,0,0,55,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0
F7,447,8530,8690,0,0,360,0,0,0,0,0,0,0,4,0,11,6,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,27,33,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,1,0,0,0,0,0,25,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0
F7,458,8690,8810,0,0,237,0,0,0,0,0,0,0,31,0,8,7,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,29,44,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,23,4,0,0,0,0,0,89,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
