"","depth","upper_age","lower_age","Pinnularia borealis","Nitzschia palea","Gomphosphenia sp","Aulacoseira italica","Eunotia cf sudetica","Pinnularia aff breviscostata","Pinnularia acrosphaeria","Gomphonema parvulum","Eunotia intermedia","Pinnularia abaujensis var linearis","Gomphonema aff mexicanum","Stauroneis phoenicenteron","Achnanthes lanceolata","Pinnularia viridis","Luticula mutica","Eunotia formica","Encyonema minutum","Orthoseira roeseana","Neidium iridis","Frustulia rhomboides","Brachysira vitrea","Eunotia naeglii","Aulacoseira granulata var. angustissima","Eunotia serra","Gomphonema truncatum","Eunotia monodon","Eunotia bilunaris","Aulacoseira granulata","Pinnularia maior","Tabellaria flocculosa","Rhopalodia gibba","Achnanthidium minutissimum","Gomphonema gracile","Navicula spp","Cymbella gracilis","Eunotia flexuosa","Fragilaria tenera","Navicula radiosa","Pinnularia spp","Pinnularia gibba","Craticula riparia","Navicula cryptotenella","Amphora ovalis","Eunotia soleirolii","Cymbella silesiacum","Gomphonema angustum","Mayamaea sp","Nitzschia amphibia","Gomphosphenia lingulatiformis","Cyclotella meneghiniana","Brachysira brebisonii","Cocconeis placentula","Cymbella minor","Epithemia turgida","Eunotia minor","Aulacoseira cf laevis","Discostella stelligera","Aulacoseira ambigua","Small Fragilarioids"
"51",2299,120283.26,122429.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,3,0,0,13,261
"52",2349,122429.18,125433.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,220,117
"53",2419,125433.48,127579.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,27,0,46,0,15,0,51,0,0,0,0,0,0,0,0,0,10,269,0,7,32
"54",2469,127579.4,130583.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,220
"55",2539,130583.69,132729.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,72
"56",2589,132729.61,135733.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,75
"57",2659,135733.91,140841.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,27
"58",2778,140841.2,142993.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,280
"59",2828,142993.52,146060.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,292
"60",2899,146060.48,148220.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,94
"61",2949,148220.3,151244.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,176
"62",3019,151244.06,153403.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198
"63",3069,153403.89,156427.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,303
"64",3139,156427.65,158587.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,33,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,276
"65",3189,158587.47,161611.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,12,0,0,0,1,197
"66",3259,161611.23,163875.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,296
"67",3309,163875.82,167078.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
"68",3499,172568.63,174856.21,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,7,11,0,0,7,15,15,0,0,0,0,0,0,0,0,0,13,0,0,0,240
"69",3549,174856.21,178058.82,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,4,0,0,4,0,0,0,4,0,0,5,0,0,0,0,0,5,0,0,3,0,0,10,19,0,0,0,28,13,0,0,0,0,0,0,0,0,0,24,0,0,3,132
"70",3619,178058.82,180346.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,215
"71",3669,180346.41,183483.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,185
"72",3738,183483.52,185681.32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,146
"73",4149,201549.45,204644.44,0,0,0,0,0,0,0,0,0,2,0,0,4,4,5,0,1,0,0,0,0,0,0,0,0,12,0,0,2,3,0,0,5,0,0,8,0,0,13,0,0,0,28,28,41,8,0,0,0,0,0,18,0,0,6,10,0,15,152
"74",4339,209977.78,212200,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,5,0,4,22,0,0,1,0,0,12,0,0,0,4,0,0,1,10,47,0,0,0,0,0,0,0,0,0,10,200,0,95,145
"75",4461,215400,217622.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,95
"76",4629,222866.67,225946.43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
"77",4748,228178.57,231303.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,4,4,0,0,0,0,0,4,0,0,5,43,0,164,130
"78",4868,233535.71,236705.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
"79",4989,238937.5,242062.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,128
"80",5109,244300.45,247484.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,1,0,0,148,102
