Country;Site_Name;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Reference;Full Reference;
Chile;Ramaditas;-21,002778;-69,358333;2240;30;Beta-314509;wood;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2278;46;AA-53448;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2285;43;AA-39925;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2297;73;GX-19200;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2320;60;Beta-50834;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2435;63;AA-39924;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2480;100;GX-19201;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2555;45;AA-35463;charcoal;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Ramaditas;-21,002778;-69,358333;2735;255;GX-19202;plant;Gayo et al 2015;Gayo, E. M., Latorre, C., & Santoro, C. M. (2015). Timing of occupation and regional settlement patterns revealed by time-series analyses of an archaeological radiocarbon database for the South-Central Andes (16-25S). Quaternary International, 356, 4-14.;
Chile;Rio Chico-1;-52,066667;-70;2070;80;unknown;charcoal;Ortiz-Troncoso 1980-1981;Ortiz-Troncoso, O. (1980-1981). Inventory of radiocarbon dates from Southern Patagonia and Tierra del Fuego. Journal Societe Americanistes, 67, 185-211.;
Chile;Rio Chico-1;-52,066667;-70;5856;44;AA65165;unknown;Salemme & Miotti 2008;Salemme, M., & Miotti, L. (2008) Archaeological hunter-gatherer landscapes since the Latest Pleistocene in Fuego-Patagonia. In: Late Cenozoic of Patagonia and Tierra del Fuego. Eds. Rabassa, J. Amsterdam, Elsevier, pp 437-483.;
Chile;Rio Chico-1;-52,066667;-70;5918;44;AA65166;unknown;Salemme & Miotti 2008;Salemme, M., & Miotti, L. (2008) Archaeological hunter-gatherer landscapes since the Latest Pleistocene in Fuego-Patagonia. In: Late Cenozoic of Patagonia and Tierra del Fuego. Eds. Rabassa, J. Amsterdam, Elsevier, pp 437-483.;
Chile;Rio Ibanez;-46,25;-72,701042;2990;90;unknown;unknown;Lucero & Mena 2000;Lucero, V., & Mena, F. (2000). Arte rupestre del rio Ibanez (XI Region): un analisis cuantitativo exploratorio. In: Desde el pais de los gigantes. Perspectivas arqueologicas en Patagonia, Tomo II. Universidad Nacional de la Patagonia Austral, Rio Gallegos, pp 415-427.;
Chile;Rio Ibanez;-46,25;-72,701042;4720;60;unknown;unknown;Lucero & Mena 2000;Lucero, V., & Mena, F. (2000). Arte rupestre del rio Ibanez (XI Region): un analisis cuantitativo exploratorio. In: Desde el pais de los gigantes. Perspectivas arqueologicas en Patagonia, Tomo II. Universidad Nacional de la Patagonia Austral, Rio Gallegos, pp 415-427.;
Chile;Rio Ibanez;-46,25;-72,701042;4830;60;unknown;unknown;Lucero & Mena 2000;Lucero, V., & Mena, F. (2000). Arte rupestre del rio Ibanez (XI Region): un analisis cuantitativo exploratorio. In: Desde el pais de los gigantes. Perspectivas arqueologicas en Patagonia, Tomo II. Universidad Nacional de la Patagonia Austral, Rio Gallegos, pp 415-427.;
Chile;Rio Ibanez;-46,25;-72,701042;5340;180;Beta-7635;charcoal;Mena & Ocampo 1993;Mena, F., & Ocampo, C. (1993). Distribucion, localizacion, y caracterizacion de sitios arqueologicos en el Rio Ibanez (XI Region). Boletin del Museo Regional de la Araucania, 4, 33-58.;
Chile;San Gregorio 2;-52,553464;-70,408111;2830;150;GaK-8293;charcoal;Pallo 2015;Pallo, M.C. (2015). Tecnologias SIG y patrones de organizacion espacial entre cazadores recolectores: un caso de estudio arqueologico de Patagonia meridional (extremo sur de Sudamerica). Complutum, 26, 71-90.;
Chile;San Lorenzo;-23,259646;-67,7586;2550;25;unknown;bone;Andrade et al 2014;Andrade, P., Salazar, D., Urrea, J., & Castro, V. (2014). Modos de vida de los cazadores-recolectores de la costa arreica del Norte Grande de Chile: una aproximacion bioarqueologica a las poblaciones prehistoricas de Taltal. Chungara. Revista de Antropologia Chilena, 46, 467-491.;
Chile;San Lorenzo;-23,259646;-67,7586;9960;125;N-34241;charcoal;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Chile;San Lorenzo;-23,259646;-67,7586;10280;120;HU-299;charcoal;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
