Country;Site_Name;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Reference;Full Reference;
Brazil;Pereirinha IV;-25,060021;-47,92568243;3660;70;CENA-477;shell;Demartini 2004;Demartini, C. M. C. (2004). Caraterizacao cultural e gerenciamento do patrimonio arqueologico do Parque Estadual da Ilha do Cardoso. PhD Thesis. Museu de Arqueologia, Faculdade de Filosofia, Letras e Ciencia Humanas, Universidade de Sao Paulo, Sao Paulo.;
Brazil;Pereirinha IV;-25,060021;-47,92568243;3700;70;CENA-478;shell;Demartini 2004;Demartini, C. M. C. (2004). Caraterizacao cultural e gerenciamento do patrimonio arqueologico do Parque Estadual da Ilha do Cardoso. PhD Thesis. Museu de Arqueologia, Faculdade de Filosofia, Letras e Ciencia Humanas, Universidade de Sao Paulo, Sao Paulo.;
Brazil;Pereirinha IV;-25,060021;-47,92568243;3770;70;CENA-479;shell;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Peri-Peri;-8,549997;-36,865551;2030;50;CSIC-605;unknown;Etchevarne 2000;Etchevarne, C. (2000). A ocupacao humana do Nordeste brasileiro antes da colonizacao portugesa. Revista USP, 44, 112-141.;
Brazil;Piacaguera;-25,470429;-48,480307;4481;110;unknown;teeth;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Piacaguera;-25,470429;-48,480307;4890;110;unknown;bone;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Piacaguera;-25,470429;-48,480307;4930;100;I 4481;wood;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Pindu (S-38);-24,65;-47,483333;3090;120;Bah 348;shell;Uchoa 1981-82;Uchoa, D. P. (1981-1982). Ocupacao do litoral sul-sudeste brasileiro por grupos coletor-pescadores. Arquivos do Museu de Historia Natural, 6-7, 133-143.;
Brazil;Piraju, Sao Paulo;-23,55;-49,65;3600;120;Gif-2546;charcoal;Laming-Emperaire 1968;Laming-Emperaire, A. (1968). Missions archeologiques francaises au Chili Austral et au Bresil Meridional: datations de quelques sites par le radiocarbone. Journal de la Societe des Americanistes, 57, 77-99.;
Brazil;Ponta da Cabeca;-22,964007;-42,03109444;2080;40;Gif-11044;charcoal;Scheel-Ybert 1998;Scheel-Ybert, R. (1998). Stabilite de l'ecosysteme sur le littoral Sud-Est du Bresil a l'Holocene Superieur (5500-1400 ans BP). Les pecheurs-cueilleurs-chasseurs et le millieu vegetal: apports de l'anthracologie. Ph.D. Thesis, USTL, Montpellier, France. 3 volumes. 520 pp.;
Brazil;Ponta da Cabeca;-22,964007;-42,03109444;3270;70;Beta-84331;charcoal;Tenorio et al 1992;Tenorio, M. C., Guimaraes, M., & Portella, T. (1992). O sitio Ponta da Cabeca, Arraial do Cabo, Rio de Janeiro. In: Anais da VI Reunido Cientifica da Sociedade de Arqueologia Brasileira, 1, 279-291.;
Brazil;Ponta das Almas;-27,592222;-48,459167;2220;250;SI-221;shell;Hurt 1974;Hurt, W. R. (1974). The interrelationships between the natural environment and four sambaquis, coast of Santa Catarina, Brazil. Occasional Papers and Monographs Series, Indiana University Musuem, 1, 1-23.;
Brazil;Ponta das Almas;-27,592222;-48,459167;2400;250;SI-220;shell;Hurt 1974;Hurt, W. R. (1974). The interrelationships between the natural environment and four sambaquis, coast of Santa Catarina, Brazil. Occasional Papers and Monographs Series, Indiana University Musuem, 1, 1-23.;
Brazil;Ponta das Almas;-27,592222;-48,459167;3690;100;SI-223;shell;Hurt 1974;Hurt, W. R. (1974). The interrelationships between the natural environment and four sambaquis, coast of Santa Catarina, Brazil. Occasional Papers and Monographs Series, Indiana University Musuem, 1, 1-23.;
Brazil;Ponta das Almas;-27,592222;-48,459167;4280;400;SI-222;shell;Hurt 1974;Hurt, W. R. (1974). The interrelationships between the natural environment and four sambaquis, coast of Santa Catarina, Brazil. Occasional Papers and Monographs Series, Indiana University Musuem, 1, 1-23.;
Brazil;Ponta de Pedras;-1,350931;-48,828978;3490;195;GX-2474;shell;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Ponta de Pedras;-1,350931;-48,828978;4090;95;SI-1031;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Ponta de Pedras;-1,350931;-48,828978;4500;90;SI-1030;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Ponta do Leste;-23,17335;-44,258335;2880;40;Beta-148615;soil;Tenorio et al 2008;Tenorio, M. C., Pinto, D. C., & Afonso, M. C. (2008). Dinamica de ocupacao, contatos e trocas do litoral do Rio de Janeiro no periodo de 4000 a 2000 anos antes do Presente. Arquivos do Museu Nacional, Rio de Janeiro, 66, 311-321.;
Brazil;Ponta Grossa (S-27);unknown;unknown;3870;100;Ba-294;unknown;Uchoa 1981-82;Uchoa, D. P. (1981-1982). Ocupacao do litoral sul-sudeste brasileiro por grupos coletor-pescadores. Arquivos do Museu de Historia Natural, 6-7, 133-143.;
Brazil;Pontiha;-22,88727;-42,580815;2270;190;Bah-1764;charcoal;Kneip 1991;Kneip, L. M., Pallestrinin, L., Crancio, F., & Machado, L. M. C. (1991). As estruturas suas interrelacoes em sitios de pescadores-coletores pre-historicos do litoral de Saquarema, RJ. Bol. Inst. Arqueol. Brasil, ser. Ensaios, 5, 1-42.;
Brazil;Porta da Mina;-15,087426;-43,144322;4340;235;GX-2473;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;4380;80;SI-2544;shell;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;4610;55;SI-1035;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;4695;80;SI-2545;shell;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;4740;80;SI-2543;shell;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;4750;65;SI-1037;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;5045;95;SI-1038;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;5050;85;SI-2546;shell;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;5070;95;SI-1036;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porta da Mina;-15,087426;-43,144322;5115;195;GX-2472;charcoal;Roosevelt 1998;Roosevelt, A. C. (1998). Ancient and modern hunter-gatherers of lowland South America: an evolutionary perspective. In: Advances in Historical Ecology (Ed: Balee, W.). pp191-212. Columbia University Press, New York.;
Brazil;Porto Maurico (Parangua/PR);-25,289081;-48,135939;4540;90;unknown;unknown;Rauth 1967;Rauth, J. W. (1967). Nota previa sobre a escavacao do sambaqui do Porto Mauricio. Prog. Nac. Pesq. Arqueol., Res. prelim. Pub avuls, Museu Paraense Emilio Goeldi, 6, 47-54.;
Brazil;Porto Maurico (Parangua/PR);-25,289081;-48,135939;4760;80;unknown;unknown;Rauth 1967;Rauth, J. W. (1967). Nota previa sobre a escavacao do sambaqui do Porto Mauricio. Prog. Nac. Pesq. Arqueol., Res. prelim. Pub avuls, Museu Paraense Emilio Goeldi, 6, 47-54.;
Brazil;Porto Maurico (Parangua/PR);-25,289081;-48,135939;6030;130;unknown;unknown;Rauth 1967;Rauth, J. W. (1967). Nota previa sobre a escavacao do sambaqui do Porto Mauricio. Prog. Nac. Pesq. Arqueol., Res. prelim. Pub avuls, Museu Paraense Emilio Goeldi, 6, 47-54.;
Brazil;Porto Viera 1;-28,583105;-49,00133967;3610;70;Beta 209710;shell;DeBlasis et al 2007;DeBlasis, P., Kneip, A., Scheel-Ybert, R., Giannini, P., & Gaspar, M. (2007). Sambaquis e paisagem Dinamica natural e arqueologica regional do sul do Brasil. Arqueologia Suramericana/Arqueologia Sul-Americana, 3, 29-61.;
Brazil;PR-FO-49;-24,087332;-54,278426;4065;75;SI-5045;unknown;Chmyz 1983;Chmyz, I. (1983). Projecto arqueologico Itaipu (1975-1983). Curitiba, Covenio Itaipu/IPHAN.;
Brazil;Praia das Laranjeiras (Balneario Camburiu/SC);-26,932701;-48,637172;3815;145;I-10.893;unknown;Schmitz & Bitencourt 1996;Schmitz, P. I., & Bittencourt, A. L. (1996). O sitio arqueologico de Laranjeiras I, SC. Escavacoes aruqeologicas do Pe Joao Alfredo Rohr, S.J. Pesquisas, Anthropologia, 53, 13-76.;
Brazil;Praia das Laranjeiras (Balneario Camburiu/SC);-26,932701;-48,637172;4990;210;unknown;unknown;Rohr 1984;Rohr, J. A. (1984). Sitios arqueologicos de Santa Catarina. An. Mus. Antropol. (Florianopolis), 17, 77-168.;
Brazil;Prainha-II;unknown;unknown;3920;100;I-9976;unknown;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Ramal;unknown;unknown;5040;90;unknown;unknown;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Ramal;unknown;unknown;6540;105;SI-1573;unknown;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Ratones;unknown;unknown;4260;210;unknown;unknown;Martin et al 1984;Martin, L., Suguio, K., & Flexor, J. M. (1984). Informacoes adicionais fornecidas pelos sambquis na reconstrucao de paleolinhas de praia quaternaria: exemplos da costa do Brasil. Revista de Pre-Historia, 6, 128-147.;
Brazil;Ribeirao Pequeno;-28,513319;-48,89167232;2390;70;Beta 209704;shell;DeBlasis et al 2007;DeBlasis, P., Kneip, A., Scheel-Ybert, R., Giannini, P., & Gaspar, M. (2007). Sambaquis e paisagem Dinamica natural e arqueologica regional do sul do Brasil. Arqueologia Suramericana/Arqueologia Sul-Americana, 3, 29-61.;
Brazil;Rio Branco (S-48);-24,0675;-46,8;5970;140;Ba-297;shell;Uchoa 1981-82;Uchoa, D. P. (1981-1982). Ocupacao do litoral sul-sudeste brasileiro por grupos coletor-pescadores. Arquivos do Museu de Historia Natural, 6-7, 133-143.;
Brazil;Rio Caipora;-28,559512;-49,0988309;5410;50;Beta 234198;shell;DeBlasis et al 2007;DeBlasis, P., Kneip, A., Scheel-Ybert, R., Giannini, P., & Gaspar, M. (2007). Sambaquis e paisagem Dinamica natural e arqueologica regional do sul do Brasil. Arqueologia Suramericana/Arqueologia Sul-Americana, 3, 29-61.;
Brazil;Rio Caipora;-28,559512;-49,0988309;6590;60;Beta 234199;charcoal;DeBlasis et al 2007;DeBlasis, P., Kneip, A., Scheel-Ybert, R., Giannini, P., & Gaspar, M. (2007). Sambaquis e paisagem Dinamica natural e arqueologica regional do sul do Brasil. Arqueologia Suramericana/Arqueologia Sul-Americana, 3, 29-61.;
Brazil;Rio Comprido;-24,452222;-47,217778;4560;110;Gif 3646;wood;Martin et al 1984;Martin, L., Suguio, K., & Flexor, J. M. (1984). Informacoes adicionais fornecidas pelos sambquis na reconstrucao de paleolinhas de praia quaternaria: exemplos da costa do Brasil. Revista de Pre-Historia, 6, 128-147.;
Brazil;Rio da Roca-I;unknown;unknown;3300;100;I-9975;unknown;Garcia 1979;Garcia, C. R. (1979). Nova datação do Sambaqui Maratuá e considerações sobre as flutuações eustáticas propostas por Fairbridge. Revista de Pré-História, 1, 15-30.;
Brazil;Rio das Pedras III;-24,468611;-47,967222;4710;145;Bah 300;shell;Martin et al 1984;Martin, L., Suguio, K., & Flexor, J. M. (1984). Informacoes adicionais fornecidas pelos sambquis na reconstrucao de paleolinhas de praia quaternaria: exemplos da costa do Brasil. Revista de Pre-Historia, 6, 128-147.;
Brazil;Rio das Pedras III;-24,468611;-47,967222;4750;110;Gif 3641;shell;Martin et al 1984;Martin, L., Suguio, K., & Flexor, J. M. (1984). Informacoes adicionais fornecidas pelos sambquis na reconstrucao de paleolinhas de praia quaternaria: exemplos da costa do Brasil. Revista de Pre-Historia, 6, 128-147.;
Brazil;Rio das Pedras III;-24,468611;-47,967222;4860;100;Bah 343;shell;Uchoa 1981-82;Uchoa, D. P. (1981-1982). Ocupacao do litoral sul-sudeste brasileiro por grupos coletor-pescadores. Arquivos do Museu de Historia Natural, 6-7, 133-143.;
Brazil;Rio das Pedrinhas;-22,630991;-42,943469;3170;70;CENA/USP;shell;Mendonca & Godoy 2004;Mendoca, M. L. T. G., & Godoy, J. M. (2004). Datacao radiocarbonica de sitios arqueologicos do tipo sambaqui pela tecnica de absorcao de CO2: uma alternativa a sinteses benzenica. Quimica Nova, 27, 323-325.;
Brazil;Rio Doce I;unknown;unknown;4400;200;unknown;unknown;Sugio et al 1982;Sugio, K., Martin, L., & Dominguez, J. M. L. (1982). Evolucao da planicie costeira do Rio Doce (ES) durante o Quaternario: influencia das flutuacoes do nivel do mar. Atas do IV Simposio do Quaternario no Brasil, Rio de Janeiro, pp 93-115.;
Brazil;Rio Doce II;unknown;unknown;4240;150;unknown;unknown;Sugio et al 1982;Sugio, K., Martin, L., & Dominguez, J. M. L. (1982). Evolucao da planicie costeira do Rio Doce (ES) durante o Quaternario: influencia das flutuacoes do nivel do mar. Atas do IV Simposio do Quaternario no Brasil, Rio de Janeiro, pp 93-115.;
Brazil;Rio Doce III;unknown;unknown;3550;150;unknown;unknown;Sugio et al 1982;Sugio, K., Martin, L., & Dominguez, J. M. L. (1982). Evolucao da planicie costeira do Rio Doce (ES) durante o Quaternario: influencia das flutuacoes do nivel do mar. Atas do IV Simposio do Quaternario no Brasil, Rio de Janeiro, pp 93-115.;
Brazil;Rio Doce IV;unknown;unknown;2970;180;unknown;unknown;Sugio et al 1982;Sugio, K., Martin, L., & Dominguez, J. M. L. (1982). Evolucao da planicie costeira do Rio Doce (ES) durante o Quaternario: influencia das flutuacoes do nivel do mar. Atas do IV Simposio do Quaternario no Brasil, Rio de Janeiro, pp 93-115.;
Brazil;Rio Grande do Sul;-29,616667;-50,2875;4280;180;SI 233;charcoal;Miller 1969;Miller, E. T. (1969). Resultados preliminares das escavacoes no sitio pre-ceramico RS-LN-1: Cerrito Dalpiaz (abrigo-sob-rocha). Iheringia Antropologia, 1, 43-112.;
Brazil;Rio Grande do Sul;-29,616667;-50,2875;5680;240;SI 235;charcoal;Miller 1969;Miller, E. T. (1969). Resultados preliminares das escavacoes no sitio pre-ceramico RS-LN-1: Cerrito Dalpiaz (abrigo-sob-rocha). Iheringia Antropologia, 1, 43-112.;
Brazil;Rio Grande do Sul;-29,616667;-50,2875;5950;190;SI 234;charcoal;Miller 1969;Miller, E. T. (1969). Resultados preliminares das escavacoes no sitio pre-ceramico RS-LN-1: Cerrito Dalpiaz (abrigo-sob-rocha). Iheringia Antropologia, 1, 43-112.;
Brazil;Rio Iguacu (PR-UV-4);-26,228864;-51,012649;3110;140;SI-802;charcoal;Chmyz 1977;Chmyz, I. (1977). Pesquisas paleoetnograficas efetuadas no vale do rio Parananapanema. Parana - Sao Paulo. Boletim de Psicologia e Antropologia. Curitiba, 5.;
Brazil;Rio Ivai (PR-QN-1);-23,094013;-53,541112;5380;110;SI-1014;charcoal;Stuckenrath & Mielke 1973;Stuckenrath, R., & Mielke, J. (1973). Smithsonian Institution radiocarbon measurements VIII. Radiocarbon, 15, 388-424.;
Brazil;Rio Novo do Sul;unknown;unknown;2970;170;unknown;unknown;Souza 1991;Souza, A. 1991. Historia de arqueologia brasileira. Pesquisas, 46, 1-157.;
Brazil;Rio Novo do Sul;unknown;unknown;3030;170;unknown;unknown;Souza 1991;Souza, A. 1991. Historia de arqueologia brasileira. Pesquisas, 46, 1-157.;
Brazil;Rio Preto;-24,135833;-46,9;4635;100;Bah 331;shell;Uchoa 1981-82;Uchoa, D. P. (1981-1982). Ocupacao do litoral sul-sudeste brasileiro por grupos coletor-pescadores. Arquivos do Museu de Historia Natural, 6-7, 133-143.;
Brazil;RS-21/Schmitz;-29,383485;-51,595956;7800;50;Beta 204345;unknown;Dias 2012;Dias, A. S. (2012). Hunter-gatherer occupation of south Brazilian Atlantic Forest: paleonenvironment and archaeology. Quaternary International, 256, 12-18.;
Brazil;RS-C-14/Bom Jardim Velho;-29,526978;-51,744271;5655;140;SI 1199;unknown;Dias 2012;Dias, A. S. (2012). Hunter-gatherer occupation of south Brazilian Atlantic Forest: paleonenvironment and archaeology. Quaternary International, 256, 12-18.;
Brazil;RS-C-61/Pilger;-29,512638;-51,727792;3000;40;UGA 02017;unknown;Dias 2012;Dias, A. S. (2012). Hunter-gatherer occupation of south Brazilian Atlantic Forest: paleonenvironment and archaeology. Quaternary International, 256, 12-18.;
Brazil;RS-C-61/Pilger;-29,512638;-51,727792;6180;50;Beta 227856;unknown;Dias 2012;Dias, A. S. (2012). Hunter-gatherer occupation of south Brazilian Atlantic Forest: paleonenvironment and archaeology. Quaternary International, 256, 12-18.;
Brazil;RS-C-61/Pilger;-29,512638;-51,727792;8030;50;Beta 229583;charcoal;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-C-61/Pilger;-29,512638;-51,727792;8150;50;Beta 260456;unknown;Dias 2012;Dias, A. S. (2012). Hunter-gatherer occupation of south Brazilian Atlantic Forest: paleonenvironment and archaeology. Quaternary International, 256, 12-18.;
Brazil;RS-C-61/Pilger;-29,512638;-51,727792;8430;50;Beta 260455;charcoal;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-I-66/Milton Almeida;-29,718056;-56,6638;10810;275;SI-2722;charcoal;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-I-67/Touro Passo I;-29,789167;-57,075;9230;145;SI-2625;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-I-67/Touro Passo I;-29,789167;-57,075;9840;105;N-2519;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-I-67/Touro Passo I;-29,789167;-57,075;10010;190;SI-9628;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-I-69/Laranjito;-29,613333;-56,93;9620;110;SI-2631;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-I-69/Laranjito;-29,613333;-56,93;10200;125;N-2522;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-I-69/Laranjito;-29,613333;-56,93;10240;80;SI-3106;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-I-69/Laranjito;-29,613333;-56,93;10400;110;N-2521;unknown;Dillehay 2000;Dillehay, T. (2000). The Settlement of the Americas. Basic Books, New York.;
Brazil;RS-I-69/Laranjito;-29,613333;-56,93;10800;150;N-2523;unknown;Dillehay 2000;Dillehay, T. (2000). The Settlement of the Americas. Basic Books, New York.;
Brazil;RS-I-69/Laranjito;-29,613333;-56,93;10985;100;SI-2630;unknown;Dillehay 2000;Dillehay, T. (2000). The Settlement of the Americas. Basic Books, New York.;
Brazil;RS-I-70;-29,74555;-57,048032;9120;340;SI-2632;unknown;Miller 1987;Miller, E. (1987). Pesquisas arqueologicas paleoindigenas no Brasil Ocidental. Estudios Atacamenos, 8, 37-61.;
Brazil;RS-I-72/Palmito 2;-29,532222;-56,865;9450;115;SI-2634;charcoal;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-I-97;-29,779675;-57,128498;9605;120;SI-3754;unknown;Miller 1987;Miller, E. (1987). Pesquisas arqueologicas paleoindigenas no Brasil Ocidental. Estudios Atacamenos, 8, 37-61.;
Brazil;RS-I-98;-29,737054;-57,075626;10180;275;SI-3752;unknown;Miller 1987;Miller, E. (1987). Pesquisas arqueologicas paleoindigenas no Brasil Ocidental. Estudios Atacamenos, 8, 37-61.;
Brazil;RS-I-99;-29,286989;-56,558939;9035;100;SI-3755;unknown;Miller 1987;Miller, E. (1987). Pesquisas arqueologicas paleoindigenas no Brasil Ocidental. Estudios Atacamenos, 8, 37-61.;
Brazil;RS-IJ-62;-28,950467;-56,305224;3525;145;SI-800;charcoal;Miller 1987;Miller, E. (1987). Pesquisas arqueologicas paleoindigenas no Brasil Ocidental. Estudios Atacamenos, 8, 37-61.;
Brazil;RS-IJ-67/Pessegueiro;-29,789167;-57,075;8585;115;SI-2636;unknown;Dillehay 2000;Dillehay, T. (2000). The Settlement of the Americas. Basic Books, New York.;
Brazil;RS-IJ-67/Pessegueiro;-29,789167;-57,075;9595;175;SI-2637;unknown;Dillehay 2000;Dillehay, T. (2000). The Settlement of the Americas. Basic Books, New York.;
Brazil;RS-IJ-67/Pessegueiro;-29,789167;-57,075;9855;130;SI-3749;unknown;Borrero 1996;Borrerro, L. (1996). The Pleistocene-Holocene transition in Southern South America. In: Humans at the end of the Ice Age. Eds Straus, L., Eriksen, B., Erlandson, J., & Yesner, D. Plenun Press, New York, pp 52-75.;
Brazil;RS-IJ-68;-28,611719;-56,004939;11555;230;SI-3750;unknown;Noelli 1999-2000;Noelli, F. S. (1999-2000). A ocupacao humana na Regiao Sul do Brasil: arqueologia, debates e perspectivas - 1872-2000. Revista USP, 44, 218-269.;
Brazil;RS-RG-1;-32,569869;-52,43217;2000;120;SI-1193;unknown;Naue 1973;Naue, G. (1973). Dados sobre o estudo dos cerritos na area meridional da Lagoa dos Patos, Rio Grande, RS. Veritas, 71-73, 246-269.;
Brazil;RS-RG-1;-32,569869;-52,43217;2160;80;SI-1194;unknown;Naue 1973;Naue, G. (1973). Dados sobre o estudo dos cerritos na area meridional da Lagoa dos Patos, Rio Grande, RS. Veritas, 71-73, 246-269.;
Brazil;RS-RG-21;-32,103422;-52,476115;2435;85;SI-1006;unknown;Naue 1973;Naue, G. (1973). Dados sobre o estudo dos cerritos na area meridional da Lagoa dos Patos, Rio Grande, RS. Veritas, 71-73, 246-269.;
Brazil;RS-RG-49;-32,575655;-52,42805;2020;50;SI-1008;unknown;Naue 1973;Naue, G. (1973). Dados sobre o estudo dos cerritos na area meridional da Lagoa dos Patos, Rio Grande, RS. Veritas, 71-73, 246-269.;
Brazil;RS-RP-86;-29,685423;-52,463029;2920;120;SI-4795;unknown;Ribeiro 1991;Ribeiro, P. A. M. (1991). Arqueologia do vale do rio Pardo, Rio Grande do Sul, Brasil. Revista do CEPA, 18, 1-184.;
Brazil;RS-S-327/Sangao;-29,7725;-50,562222;3730;60;Beta 160846;unknown;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-S-327/Sangao;-29,7725;-50,562222;3970;40;Beta 160849;unknown;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-S-327/Sangao;-29,7725;-50,562222;4160;100;Beta 154351;unknown;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-S-327/Sangao;-29,7725;-50,562222;4610;140;Beta 160847;unknown;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-S-327/Sangao;-29,7725;-50,562222;4690;40;Beta 154352;unknown;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
Brazil;RS-S-327/Sangao;-29,7725;-50,562222;7390;40;Beta 154353;unknown;Bueno et al 2013;Bueno, L., Dias, A. S., & Steele, J. (2013). The Late Pleistocene/Early Holocene archaeological record in Brazil: a geo-referenced database. Quaternary International, 301, 74-93.;
