"age (kyr BP)","mat","pann","ai"
205.177777777778,13.8378378378378,1597.7977977978,1.15740740740741
205.311111111111,13.8378378378378,1583.98398398398,1.16666666666667
205.444444444444,14.2672672672673,1689.88988988989,1.18518518518519
205.577777777778,12.6486486486486,1505.70570570571,1.16851851851852
205.711111111111,13.5735735735736,1597.7977977978,1.17962962962963
205.844444444444,12.8468468468468,1560.96096096096,1.18703703703704
205.977777777778,13.2102102102102,1634.63463463464,1.17037037037037
206.111111111111,16.1171171171171,2026.02602602603,1.22777777777778
206.244444444444,15.5555555555556,2030.63063063063,1.21851851851852
206.333333333333,13.6396396396396,1970.77077077077,1.22037037037037
206.377777777778,11.7237237237237,1570.17017017017,1.17222222222222
206.422222222222,10.2372372372372,1335.33533533534,1.12222222222222
206.466666666667,10.2042042042042,1468.86886886887,1.16296296296296
206.511111111111,10.039039039039,1427.42742742743,1.13333333333333
208.777777777778,13.045045045045,1593.19319319319,1.19444444444444
208.822222222222,14.8618618618619,1883.28328328328,1.20925925925926
208.866666666667,15.8858858858859,2012.21221221221,1.22407407407407
208.911111111111,13.2762762762763,1556.35635635636,1.1537037037037
208.955555555556,14.6966966966967,1910.91091091091,1.20740740740741
209,14.2342342342342,1712.91291291291,1.20740740740741
209.044444444444,14.4654654654655,1735.93593593594,1.21666666666667
209.088888888889,13.012012012012,1611.61161161161,1.2037037037037
209.133333333333,14.1021021021021,1754.35435435435,1.20555555555556
209.177777777778,12.4504504504505,1505.70570570571,1.16666666666667
209.222222222222,13.3753753753754,1666.86686686687,1.20555555555556
209.266666666667,13.5735735735736,1846.44644644645,1.21111111111111
209.311111111111,13.045045045045,1551.75175175175,1.15555555555556
209.355555555556,13.6396396396396,1717.51751751752,1.20925925925926
209.4,13.5405405405405,1768.16816816817,1.18703703703704
209.444444444444,15.5555555555556,2003.003003003,1.22407407407407
209.488888888889,14.7297297297297,1970.77077077077,1.22407407407407
209.533333333333,14.8948948948949,1855.65565565566,1.19259259259259
209.577777777778,15.1591591591592,1924.72472472473,1.1962962962963
209.622222222222,15.5885885885886,1924.72472472473,1.22037037037037
209.666666666667,14.6636636636637,1943.14314314314,1.21296296296296
209.711111111111,12.5165165165165,1353.75375375375,1.07592592592593
209.755555555556,14.6306306306306,1671.47147147147,1.17037037037037
209.8,15.3573573573574,2049.04904904905,1.24074074074074
209.844444444444,15.5885885885886,2095.0950950951,1.24074074074074
209.888888888889,16.7447447447447,2164.16416416416,1.2537037037037
209.933333333333,15.7867867867868,2122.72272272272,1.2537037037037
209.977777777778,13.9039039039039,1851.05105105105,1.22222222222222
210.022222222222,15.7867867867868,2076.67667667668,1.24074074074074
210.066666666667,13.1771771771772,1409.00900900901,1.10925925925926
210.111111111111,12.3183183183183,1303.1031031031,1.07037037037037
210.155555555556,12.5825825825826,1215.61561561562,1.06111111111111
210.2,13.8378378378378,1537.93793793794,1.19259259259259
210.244444444444,17.1741741741742,2168.76876876877,1.25555555555556
210.288888888889,12.8468468468468,1326.12612612613,1.06481481481481
210.333333333333,12.8138138138138,1390.59059059059,1.07222222222222
210.377777777778,12.1201201201201,1321.52152152152,1.08888888888889
210.422222222222,13.045045045045,1358.35835835836,1.09259259259259
210.466666666667,12.5825825825826,1238.63863863864,1.03333333333333
210.511111111111,13.0780780780781,1390.59059059059,1.08703703703704
210.555555555556,12.7807807807808,1307.70770770771,1.06111111111111
210.6,13.1111111111111,1372.17217217217,1.07962962962963
210.644444444444,13.1441441441441,1395.1951951952,1.08333333333333
210.688888888889,12.4174174174174,1229.42942942943,1.04444444444444
210.733333333333,12.7807807807808,1298.4984984985,1.05925925925926
210.777777777778,13.2432432432432,1422.82282282282,1.10925925925926
210.822222222222,12.4834834834835,1266.26626626627,1.0537037037037
210.866666666667,12.6816816816817,1270.87087087087,1.04259259259259
210.911111111111,12.3513513513514,1275.47547547548,1.05740740740741
210.955555555556,12.7477477477477,1298.4984984985,1.04814814814815
211,12.0540540540541,1275.47547547548,1.06851851851852
211.044444444444,12.1531531531532,1220.22022022022,1.03888888888889
211.088888888889,12.7807807807808,1316.91691691692,1.06481481481481
211.133333333333,11.6576576576577,1284.68468468469,1.06666666666667
211.177777777778,11.8228228228228,1238.63863863864,1.04814814814815
211.222222222222,11.2612612612613,1215.61561561562,1.03333333333333
211.266666666667,12.4504504504505,1261.66166166166,1.0462962962963
211.311111111111,12.5165165165165,1178.77877877878,1.02592592592593
211.4,12.6816816816817,1270.87087087087,1.04259259259259
211.444444444444,12.4174174174174,1178.77877877878,1.03333333333333
211.488888888889,11.2612612612613,1164.96496496497,1.04259259259259
211.533333333333,12.2522522522523,1257.05705705706,1.05555555555556
211.577777777778,11.9219219219219,1293.89389389389,1.06111111111111
211.622222222222,12.4174174174174,1298.4984984985,1.06851851851852
211.666666666667,11.954954954955,1252.45245245245,1.0462962962963
