Site_Name;Region;Latitude;Longitude;C14_date;Error;Lab_Number;Material_Dated;Full Reference;;;;;;;;;;;;;;;;;;
Gruta del Indio;S. Andes;-34,75;-68,366667;10530;140;A-1638;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Cerro La China 1;Pampas;-37,95;-58,616667;10525;75;AA-8954;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
Cueva Tunel;Pat ;-48,4575;-68,872;10510;100;AA-82496;bone;Paunero, R. S., Paunero, M. F., Ramos, D. (2010). Artefactos oseos en componentes del Pleistoceno final de las localidades La Maria y Cerro Tres Tetas, Santa Cruz, Argentina. In: Zooarqueologia a Principios del Siglo XXI. Aspectos teoricos, metodologicos, y casos de estudio. (Eds. Gutierrez, M., De Nigris, M., Fernandez, P., Giardina, M., Gil, A., Izeta, A., Neme, G., Yacobaccio, H.). Ediciones del Espinillo, Buenos Aires, pp 459-466.;;;;;;;;;;;;;;;;;;
Arroyo Seco 2;Pampas;-38,3605;-60,2441;9775;45;Gra-47340;bone;"Politis, G..; Gutierrez;  D. Rafuse  M.; Blasi, A. 2016. The Arrival of Homo sapiens into the Southern Cone at 14,000 Years Ago. PLoS ONE 11 (9): e0162870";;;;;;;;;;;;;;;;;;
Cerro El Sombrero A1;Pampas;-37,817;-58,56;10480;70;AA-5220;charcoal;Flegenheimer, N., Zarate, M. (1997). Considerations on radiocarbon and calibrated dates from Cerro La China and Cerro El Sombrero, Argetina. Current Research in the Pleistocene, 14, 27-28.;;;;;;;;;;;;;;;;;;
La Gruta 1;Pat ;-48,8261;-69,3961;10477;56;AA 84225;charcoal;Brook, G. A., Mancini, M. V., Franco, N. V., Bamonte, F., Ambrustolo, P. (2013). An examination of possible relationships between paleoenvironmental conditions during the Pleistocene-Holocene transition and human occupation of southern Patagonia (Argentina) east of the Andes, between 46 and 52 S. Quaternary International, 305, 104-118.;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10470;65;GRA-9837;charcoal;Miotti, L. L., Salemme, M., Flegenheimer, N. (2003). Where the south winds blow: ancient evidence of paleo-south Americans. College Station, USA: Texas A&M University Press.;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10470;60;OxA9249;charcoal;Miotti, L. L., Salemme, M., Flegenheimer, N. (2003). Where the south winds blow: ancient evidence of paleo-south Americans. College Station, USA: Texas A&M University Press.;;;;;;;;;;;;;;;;;;
Abrigo Los Pinos;Pampas;-37,85;-58,05;10465;65;AA-24045;charcoal;Mazzanti et al 2012;;;;;;;;;;;;;;;;;;
La Cueva de Yavi;S. Andes;-22,1166;-65,4666;10450;55;CSC0-1101;charcoal;Kulemeyer, J. A., Laguna, L. R. (1996). La Cueva de Yavi: cazadores-recolectores del borde oriental de la Puna de Jujuy (Argentina) entre los 12,500 y 8000 anos BP. Ciencia y Tecnologia (Jujuy), 1, 37-46.;;;;;;;;;;;;;;;;;;
Gruta del Indio;S. Andes;-34,75;-68,366667;10440;220;A-9487;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Paso Otero 5;Pampas;-38,202222;-59,099444;10440;100;AA-39363;bone;Martinez, G., Prates, L., Flensborg, G., Stoessel, L., Alcaraz, A. P., Bayala, P. (2015). Radiocarbon trends in the Pampean region (Argentina). Biases and demographic patterns during the final Late Pleistocene and Holocene. Quaternary International, 356, 89-110.;;;;;;;;;;;;;;;;;;
Amalia Site 2;Pampas;-38,157939;-57,943055;10425;75;AA-35499;charcoal;Mazzanti, D. L. (2003). Human settlements in caves and rockshelters during the Pleistocene-Holocene transition in the Eastern Tandilia range, Pampean Region, Argentina. In: Where the south winds blow: ancient evidences for Paleo South Americans. (Eds. Salemme, M., Flegenheimer, N., Miotti, L.). Center for the study of the First Americans. Texas University.;;;;;;;;;;;;;;;;;;
Cueva Tunel;Pat ;-48,4575;-68,872;10420;180;LP-196;bone;Paunero, R. S., Paunero, M. F., Ramos, D. (2010). Artefactos oseos en componentes del Pleistoceno final de las localidades La Maria y Cerro Tres Tetas, Santa Cruz, Argentina. In: Zooarqueologia a Principios del Siglo XXI. Aspectos teoricos, metodologicos, y casos de estudio. (Eds. Gutierrez, M., De Nigris, M., Fernandez, P., Giardina, M., Gil, A., Izeta, A., Neme, G., Yacobaccio, H.). Ediciones del Espinillo, Buenos Aires, pp 459-466.;;;;;;;;;;;;;;;;;;
Abrigo Los Pinos;Pampas;-37,85;-58,05;10415;70;AA-24046;charcoal;Lima-Ribeiro, M. S., Diniz-Filho, J. A. F. (2013). American megafaunal extinctions and human arrival: improved evaluation using a meta-analytic approach. Quaternary International, 299, 38-52.;;;;;;;;;;;;;;;;;;
Cueva Tunel;Pat ;-48,4575;-68,872;10480;59;AA-71147;bone;Paunero, R. S., Paunero, M. F., Ramos, D. (2010). Artefactos oseos en componentes del Pleistoceno final de las localidades La Maria y Cerro Tres Tetas, Santa Cruz, Argentina. In: Zooarqueologia a Principios del Siglo XXI. Aspectos teoricos, metodologicos, y casos de estudio. (Eds. Gutierrez, M., De Nigris, M., Fernandez, P., Giardina, M., Gil, A., Izeta, A., Neme, G., Yacobaccio, H.). Ediciones del Espinillo, Buenos Aires, pp 459-466.;;;;;;;;;;;;;;;;;;
Cueva Tunel;Pat ;-48,4575;-68,872;10400;100;AA-71148;bone;Paunero, R. S., Paunero, M. F., Ramos, D. (2010). Artefactos oseos en componentes del Pleistoceno final de las localidades La Maria y Cerro Tres Tetas, Santa Cruz, Argentina. In: Zooarqueologia a Principios del Siglo XXI. Aspectos teoricos, metodologicos, y casos de estudio. (Eds. Gutierrez, M., De Nigris, M., Fernandez, P., Giardina, M., Gil, A., Izeta, A., Neme, G., Yacobaccio, H.). Ediciones del Espinillo, Buenos Aires, pp 459-466.;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10400;80;AA-8428;bone;Miotti, L. L., Salemme, M., Flegenheimer, N. (2003). Where the south winds blow: ancient evidence of paleo-south Americans. College Station, USA: Texas A&M University Press.;;;;;;;;;;;;;;;;;;
Piedra Museo AEP-1;Pat ;-47,895;-67,867778;10400;70;AA-39367;charcoal;Steele, J., Politis, G. (2009). AMS 14C dating of early human occupation of Southern South America. Journal of Archaeological Science, 37, 2017-2030.;;;;;;;;;;;;;;;;;;
