upper_age,lower_age,depth (cm),LOI 375,EM1,EM2,EM3,EM4
41375.58685,41422.53521,493,0.143,0.027,0.485,0.064,0.281
41422.53521,41469.48357,494,0.136,0.005,0.203,0.410,0.246
41469.48357,41516.43192,495,0.159,0.044,0.180,0.277,0.340
41516.43192,41563.38028,496,0.159,0.032,0.077,0.357,0.375
41563.38028,41610.32864,497,0.152,0.043,0.138,0.410,0.257
41610.32864,41657.277,498,0.155,0.050,0.323,0.178,0.295
41657.277,41704.22535,499,0.159,0.000,0.579,0.000,0.262
41704.22535,41751.17371,500,0.170,0.000,0.578,0.252,0.000
41751.17371,41798.12207,501,0.180,0.000,0.586,0.000,0.234
41798.12207,41845.07042,502,0.180,0.000,0.641,0.000,0.179
41845.07042,41892.01878,503,0.181,0.000,0.642,0.178,0.000
41892.01878,41938.96714,504,0.157,0.000,0.592,0.251,0.000
41938.96714,41985.91549,505,0.138,0.000,0.560,0.302,0.000
41985.91549,42032.86385,506,0.123,0.040,0.463,0.209,0.165
42032.86385,42079.81221,507,0.125,0.012,0.512,0.039,0.312
42079.81221,42126.76056,508,0.120,0.022,0.546,0.000,0.313
42126.76056,42173.70892,509,0.115,0.007,0.563,0.000,0.315
42173.70892,42220.65728,510,0.115,0.012,0.507,0.050,0.317
42220.65728,42267.60563,511,0.120,0.052,0.338,0.190,0.300
42267.60563,42314.55399,512,0.124,0.000,0.466,0.000,0.410
42314.55399,42361.50235,513,0.125,0.000,0.473,0.000,0.401
42361.50235,42408.4507,514,0.128,0.000,0.484,0.000,0.388
42408.4507,42455.39906,515,0.131,0.009,0.506,0.000,0.354
42455.39906,42502.34742,516,0.132,0.021,0.515,0.000,0.332
42502.34742,42549.29577,517,0.133,0.020,0.516,0.000,0.330
42549.29577,42596.24413,518,0.141,0.018,0.526,0.000,0.316
42596.24413,42643.19249,519,0.137,0.038,0.515,0.000,0.310
42643.19249,42690.14085,520,0.131,0.041,0.491,0.000,0.337
42690.14085,42737.0892,521,0.130,0.037,0.483,0.000,0.349
42737.0892,42784.03756,522,0.125,0.050,0.471,0.001,0.354
42784.03756,42830.98592,523,0.115,0.071,0.436,0.030,0.348
42830.98592,42877.93427,524,0.109,0.080,0.383,0.089,0.339
42877.93427,42924.88263,525,0.109,0.081,0.378,0.062,0.369
42924.88263,42971.83099,526,0.109,0.103,0.346,0.105,0.337
42971.83099,43018.77934,527,0.109,0.117,0.335,0.117,0.322
43018.77934,43065.7277,528,0.107,0.150,0.311,0.101,0.331
43065.7277,43112.67606,529,0.107,0.113,0.340,0.086,0.354
43112.67606,43159.62441,530,0.109,0.149,0.299,0.091,0.352
43159.62441,43206.57277,531,0.109,0.183,0.313,0.060,0.336
43206.57277,43253.52113,532,0.106,0.145,0.318,0.106,0.326
43253.52113,43300.46948,533,0.102,0.165,0.296,0.090,0.347
43300.46948,43347.41784,534,0.100,0.074,0.432,0.038,0.356
43347.41784,43394.3662,535,0.095,0.130,0.370,0.097,0.308
43394.3662,43441.31455,536,0.090,0.000,0.589,0.000,0.322
43441.31455,43488.26291,537,0.077,0.167,0.353,0.402,0.000
43488.26291,43535.21127,538,0.070,0.000,0.671,0.000,0.259
43535.21127,43582.15962,539,0.072,0.000,0.672,0.000,0.256
43582.15962,43629.10798,540,0.064,0.000,0.682,0.000,0.254
43629.10798,43676.05634,541,0.064,0.000,0.668,0.000,0.268
43676.05634,43723.00469,542,0.057,0.000,0.668,0.000,0.275
43723.00469,43769.95305,543,0.056,0.000,0.677,0.000,0.267
43769.95305,43816.90141,544,0.060,0.000,0.689,0.000,0.251
43816.90141,43863.84977,545,0.062,0.016,0.670,0.000,0.252
43863.84977,43910.79812,546,0.063,0.124,0.449,0.364,0.000
43910.79812,43957.74648,547,0.059,0.241,0.317,0.383,0.000
43957.74648,44004.69484,548,0.060,0.372,0.236,0.333,0.000
44004.69484,44051.64319,549,0.063,0.284,0.264,0.390,0.000
44051.64319,44098.59155,550,0.086,0.114,0.471,0.072,0.257
44098.59155,44145.53991,551,0.109,0.110,0.378,0.132,0.270
44145.53991,44192.48826,552,0.114,0.039,0.529,0.013,0.305
44192.48826,44239.43662,553,0.130,0.031,0.534,0.027,0.278
44239.43662,44286.38498,554,0.137,0.102,0.439,0.322,0.000
44286.38498,44333.33333,555,0.138,0.137,0.491,0.234,0.000
44333.33333,44380.28169,556,0.137,0.128,0.528,0.207,0.000
44380.28169,44427.23005,557,0.131,0.099,0.543,0.227,0.000
44427.23005,45460.0939,558,0.122,0.113,0.526,0.239,0.000
45460.0939,45507.04225,580,0.087,0.000,0.349,0.169,0.395
45507.04225,45553.99061,581,0.106,0.044,0.390,0.067,0.393
45553.99061,45600.93897,582,0.170,0.110,0.192,0.529,0.000
45600.93897,45647.88732,583,0.084,0.059,0.408,0.175,0.274
45647.88732,45694.83568,584,0.101,0.134,0.308,0.281,0.176
45694.83568,45741.78404,585,0.088,0.189,0.262,0.461,0.000
45741.78404,45788.73239,586,0.078,0.312,0.135,0.475,0.000
45788.73239,45835.68075,587,0.078,0.232,0.295,0.119,0.276
45835.68075,45882.62911,588,0.075,0.181,0.226,0.517,0.000
45882.62911,45929.57746,589,0.061,0.219,0.153,0.217,0.349
45929.57746,45976.52582,590,0.100,0.000,0.000,0.360,0.540
45976.52582,46023.47418,591,0.105,0.000,0.147,0.220,0.529
46023.47418,46070.42254,592,0.096,0.023,0.201,0.286,0.395
46070.42254,46117.37089,593,0.111,0.000,0.168,0.157,0.564
46117.37089,46164.31925,594,0.133,0.051,0.438,0.000,0.377
46164.31925,46211.26761,595,0.138,0.366,0.235,0.261,0.000
46211.26761,46258.21596,596,0.120,0.189,0.393,0.000,0.299
46258.21596,46305.16432,597,0.110,0.230,0.390,0.000,0.270
46305.16432,46352.11268,598,0.105,0.259,0.433,0.000,0.203
46352.11268,46399.06103,599,0.094,0.330,0.418,0.158,0.000
46399.06103,46446.00939,600,0.097,0.338,0.394,0.171,0.000
46446.00939,46492.95775,601,0.095,0.000,0.552,0.000,0.353
46492.95775,46539.9061,602,0.084,0.000,0.637,0.000,0.279
46539.9061,46586.85446,603,0.076,0.100,0.613,0.211,0.000
46586.85446,46633.80282,604,0.073,0.000,0.719,0.208,0.000
46633.80282,46680.75117,605,0.074,0.129,0.511,0.285,0.000
46680.75117,46727.69953,606,0.077,0.260,0.461,0.000,0.201
46727.69953,46774.64789,607,0.080,0.272,0.500,0.000,0.148
46774.64789,46821.59624,608,0.083,0.287,0.475,0.000,0.155
46821.59624,46868.5446,609,0.082,0.268,0.515,0.000,0.135
46868.5446,46915.49296,610,0.078,0.317,0.488,0.117,0.000
46915.49296,46962.44131,611,0.078,0.249,0.530,0.000,0.144
46962.44131,47009.38967,612,0.081,0.127,0.629,0.163,0.000
47009.38967,47056.33803,613,0.081,0.149,0.584,0.186,0.000
47056.33803,47103.28638,614,0.085,0.127,0.508,0.279,0.000
47103.28638,47150.23474,615,0.082,0.215,0.517,0.186,0.000
47150.23474,47197.1831,616,0.055,0.241,0.541,0.000,0.163
47197.1831,47244.13146,617,0.056,0.135,0.623,0.000,0.186
47244.13146,47291.07981,618,0.049,0.235,0.562,0.000,0.154
47291.07981,47338.02817,619,0.046,0.219,0.549,0.000,0.186
47338.02817,47384.97653,620,0.050,0.084,0.485,0.380,0.000
47384.97653,47431.92488,621,0.047,0.018,0.514,0.421,0.000
47431.92488,47478.87324,622,0.044,0.000,0.576,0.141,0.240
47478.87324,47525.8216,623,0.046,0.000,0.469,0.257,0.228
47525.8216,47572.76995,624,0.044,0.000,0.536,0.195,0.225
47572.76995,47619.71831,625,0.044,0.000,0.460,0.274,0.223
47619.71831,47666.66667,626,0.042,0.000,0.438,0.300,0.220
47666.66667,47713.61502,627,0.040,0.000,0.403,0.368,0.189
47713.61502,47760.56338,628,0.040,0.000,0.422,0.352,0.186
47760.56338,47807.51174,629,0.039,0.000,0.361,0.600,0.000
47807.51174,47854.46009,630,0.036,0.000,0.520,0.282,0.162
47854.46009,47901.40845,631,0.037,0.000,0.495,0.286,0.181
47901.40845,47948.35681,632,0.036,0.000,0.446,0.345,0.173
47948.35681,47995.30516,633,0.034,0.000,0.487,0.324,0.154
47995.30516,48042.25352,634,0.038,0.000,0.479,0.325,0.158
48042.25352,48089.20188,635,0.036,0.006,0.366,0.592,0.000
48089.20188,48136.15023,636,0.038,0.000,0.479,0.287,0.196
48136.15023,48183.09859,637,0.040,0.000,0.502,0.240,0.218
48183.09859,48230.04695,638,0.040,0.000,0.481,0.293,0.186
48230.04695,48276.99531,639,0.041,0.000,0.381,0.410,0.169
48276.99531,48323.94366,640,0.039,0.000,0.394,0.368,0.199
48323.94366,48370.89202,641,0.040,0.000,0.413,0.346,0.202
48370.89202,48417.84038,642,0.041,0.000,0.485,0.238,0.236
48417.84038,48464.78873,643,0.043,0.000,0.413,0.362,0.182
48464.78873,48511.73709,644,0.043,0.000,0.476,0.287,0.194
48511.73709,48558.68545,645,0.043,0.000,0.444,0.295,0.217
48558.68545,48605.6338,646,0.043,0.000,0.507,0.249,0.201
48605.6338,48652.58216,647,0.046,0.000,0.517,0.226,0.211
48652.58216,48699.53052,648,0.046,0.000,0.444,0.326,0.184
48699.53052,48746.47887,649,0.048,0.019,0.474,0.246,0.213
48746.47887,48793.42723,650,0.050,0.038,0.504,0.166,0.241
48793.42723,48840.37559,651,0.050,0.054,0.494,0.139,0.263
48840.37559,48887.32394,652,0.051,0.117,0.461,0.112,0.259
48887.32394,48934.2723,653,0.055,0.281,0.197,0.467,0.000
48934.2723,48981.22066,654,0.058,0.285,0.190,0.466,0.000
48981.22066,49028.16901,655,0.061,0.110,0.456,0.131,0.242
49028.16901,49075.11737,656,0.062,0.255,0.230,0.453,0.000
49075.11737,49122.06573,657,0.066,0.167,0.400,0.125,0.242
49122.06573,49169.01408,658,0.067,0.352,0.138,0.443,0.000
49169.01408,49215.96244,659,0.076,0.193,0.421,0.095,0.216
49215.96244,49262.9108,660,0.084,0.186,0.455,0.060,0.215
49262.9108,49309.85915,661,0.085,0.181,0.494,0.025,0.215
49309.85915,49356.80751,662,0.090,0.215,0.472,0.116,0.107
