depth,upper_age,lower_age,% TIC,wt %N,wt %C,wt %TOC,TC/TN,"d13C (permil, vs VPDB)"
4907,235276.79,235500.00,0.00,0.27,2.24,2.24,8.30,-28.36
4912,235500.00,235723.21,0.00,0.29,2.91,2.91,10.03,-28.65
4917,235723.21,235946.43,0.00,0.30,3.13,3.13,10.43,-28.78
4922,235946.43,236169.64,0.00,0.24,1.79,1.79,7.46,-28.37
4927,236169.64,236392.86,0.00,0.22,1.58,1.58,7.18,-27.86
4932,236392.86,236616.07,0.00,0.22,1.60,1.60,7.27,-28.13
4937,236616.07,236839.29,0.00,0.22,1.55,1.55,7.05,-28.14
4942,236839.29,237062.50,0.00,0.23,2.02,2.02,8.78,-28.01
4947,237062.50,237285.71,0.00,0.22,2.10,2.10,9.55,-28.11
4952,237285.71,237508.93,0.00,0.11,0.46,0.46,4.18,-26.87
4957,237508.93,237732.14,0.00,0.10,0.42,0.42,4.20,-26.47
4962,237732.14,237955.36,,,,,,-26.86
4967,237955.36,239517.86,0.00,0.14,0.59,0.59,4.21,-26.16
5002,239517.86,239741.07,0.00,0.12,0.52,0.52,4.33,-26.92
5007,239741.07,239964.29,0.00,0.54,10.38,10.38,19.22,-28.14
5012,239964.29,240187.50,0.00,0.47,7.39,7.39,15.72,-28.27
5017,240187.50,240410.71,0.00,0.55,9.36,9.36,17.02,-28.11
5022,240410.71,240633.93,0.00,0.46,6.67,6.67,14.50,-28.22
5027,240633.93,240857.14,0.00,0.38,7.46,7.46,19.63,-27.23
5032,240857.14,241080.36,0.00,0.40,7.55,7.55,18.88,-27.45
5037,241080.36,241303.57,0.00,0.43,7.39,7.39,17.19,-28.08
5042,241303.57,241526.79,,,,,,-28.06
5047,241526.79,241750.00,,,,,,-27.63
5052,241750.00,241973.21,,,,,,-27.77
5057,241973.21,242196.43,,,,,,-27.35
5062,242196.43,242419.64,,,,,,-27.61
5067,242419.64,242642.86,,,,,,-26.88
5072,242642.86,242866.07,,,,,,-26.79
5077,242866.07,243089.69,,,,,,-27.00
5082,243089.69,243313.90,,,,,,-27.45
5087,243313.90,243538.12,,,,,,-27.12
5092,243538.12,244659.19,,,,,,-27.34
5117,244659.19,244883.41,0.00,0.26,2.32,2.32,8.92,-27.30
5122,244883.41,245107.62,0.00,0.25,1.70,1.70,6.80,-27.62
5127,245107.62,245331.84,0.00,0.24,1.57,1.57,6.54,-27.64
5132,245331.84,245556.05,0.00,0.25,1.64,1.64,6.56,-27.60
5137,245556.05,245780.27,0.00,0.20,1.29,1.29,6.45,-27.32
5142,245780.27,246004.48,0.00,0.19,1.07,1.07,5.63,-27.22
5147,246004.48,246228.70,0.00,0.19,1.02,1.02,5.37,-27.16
5152,246228.70,246452.91,0.00,0.21,1.13,1.13,5.38,-27.26
5157,246452.91,246677.13,0.00,0.24,1.27,1.27,5.29,-27.62
5162,246677.13,246901.35,0.00,0.23,1.09,1.09,4.74,-27.69
5167,246901.35,247125.56,0.00,0.24,1.17,1.17,4.88,-27.75
5172,247125.56,247349.78,0.00,0.24,1.34,1.34,5.58,-27.53
5177,247349.78,247573.99,0.00,0.22,1.35,1.35,6.14,-27.13
5182,247573.99,247798.21,0.00,0.22,1.30,1.30,5.91,-27.31
5187,247798.21,248022.42,0.00,0.23,1.42,1.42,6.17,-27.31
5192,248022.42,248246.64,0.00,0.24,1.51,1.51,6.29,-27.71
5197,248246.64,248470.85,0.00,0.25,1.62,1.62,6.48,-28.11
5202,248470.85,250040.36,0.00,0.24,1.54,1.54,6.42,-28.37
5237,250040.36,250264.57,0.00,0.22,2.35,2.35,10.68,-27.72
5242,250264.57,250488.79,0.00,0.19,1.95,1.95,10.26,-26.75
5247,250488.79,250713.00,0.00,0.22,2.31,2.31,10.50,-27.32
5252,250713.00,250937.22,0.00,0.20,1.96,1.96,9.80,-26.47
5257,250937.22,251161.43,0.00,0.21,2.16,2.16,10.29,-26.58
5262,251161.43,251385.65,0.00,0.29,3.52,3.52,12.14,-27.04
5267,251385.65,251609.87,0.00,0.19,1.48,1.48,7.79,-26.62
5272,251609.87,251834.08,0.00,0.25,2.03,2.03,8.12,-26.38
5277,251834.08,252058.30,0.00,0.25,1.98,1.98,7.92,-26.32
5282,252058.30,252282.51,0.00,0.28,2.24,2.24,8.00,-26.39
5287,252282.51,252506.73,0.00,0.28,2.19,2.19,7.82,-26.41
5292,252506.73,252730.94,0.00,0.29,2.24,2.24,7.72,-26.47
5297,252730.94,252955.16,0.00,0.21,1.92,1.92,9.14,-26.09
5302,252955.16,253179.37,0.00,0.21,1.75,1.75,8.33,-25.75
5307,253179.37,253403.59,0.00,0.21,1.43,1.43,6.81,-25.95
5312,253403.59,253627.80,0.00,0.20,1.43,1.43,7.15,-26.21
5317,253627.80,253852.02,0.00,0.20,1.54,1.54,7.70,-27.09
5322,253852.02,254076.23,0.00,0.21,1.66,1.66,7.90,-26.35
5327,254076.23,254300.45,0.00,0.26,2.56,2.56,9.85,-27.39
5332,254300.45,254524.66,0.00,0.17,0.89,0.89,5.24,-27.77
5337,254524.66,254748.88,0.00,0.17,0.97,0.97,5.71,-27.65
5342,254748.88,254973.09,0.00,0.15,0.87,0.87,5.80,-27.60
5347,254973.09,256094.17,0.00,0.13,0.64,0.64,4.92,-26.94
5372,256094.17,256318.39,0.00,0.24,1.96,1.96,8.17,-27.30
5377,256318.39,256542.60,0.00,0.26,2.76,2.76,10.62,-27.83
5382,256542.60,256766.82,0.00,0.25,2.54,2.54,10.16,-28.08
5387,256766.82,256991.03,0.00,0.17,1.21,1.21,7.12,-27.72
5392,256991.03,257215.25,0.00,0.13,0.78,0.78,6.00,-26.96
5397,257215.25,257439.46,0.00,0.12,0.77,0.77,6.42,-26.53
5402,257439.46,257663.68,0.00,0.23,2.33,2.33,10.13,-27.85
5407,257663.68,257887.89,0.00,0.27,2.92,2.92,10.81,-27.56
5412,257887.89,258112.11,0.00,0.27,2.79,2.79,10.33,-28.18
5417,258112.11,258336.32,0.00,0.29,3.22,3.22,11.10,-28.12
5422,258336.32,258560.54,0.00,0.23,1.60,1.60,6.96,-27.71
5427,258560.54,258784.75,0.00,0.27,2.63,2.63,9.74,-28.26
5432,258784.75,259008.97,0.00,0.27,2.25,2.25,8.33,-28.49
5437,259008.97,259233.18,0.00,0.28,2.97,2.97,10.61,-28.13
5442,259233.18,259457.40,0.00,0.13,1.14,1.14,8.77,-26.77
5447,259457.40,259681.61,0.00,0.40,6.20,6.20,15.50,-26.98
5452,259681.61,259905.83,0.00,0.30,3.40,3.40,11.33,-28.08
5457,259905.83,260130.04,0.00,0.28,2.75,2.75,9.82,-28.22
5462,260130.04,260354.26,0.00,0.10,0.61,0.61,6.10,-26.85
5467,260354.26,260578.48,0.00,0.11,0.79,0.79,7.18,-26.81
5472,260578.48,261475.34,0.00,0.15,1.41,1.41,9.40,-26.25
5492,261475.34,261699.55,0.00,0.14,1.18,1.18,8.43,-26.09
5497,261699.55,261923.77,0.00,0.15,1.21,1.21,8.07,-26.49
5502,261923.77,262147.98,0.00,0.16,1.34,1.34,8.38,-26.64
5507,262147.98,262372.20,0.00,0.16,1.29,1.29,8.06,-25.82
5512,262372.20,262596.41,0.00,0.22,1.60,1.60,7.27,-26.41
5517,262596.41,262820.63,0.00,0.35,4.80,4.80,13.71,-27.35
5522,262820.63,263068.40,0.00,0.49,9.42,9.42,19.22,-27.24
5527,263068.40,263410.42,0.00,0.40,6.88,6.88,17.20,-28.01
5532,263410.42,263752.44,0.00,0.38,6.02,6.02,15.84,-27.93
5537,263752.44,264094.46,0.00,0.36,5.67,5.67,15.75,-27.52
5542,264094.46,264436.48,0.00,0.27,3.12,3.12,11.56,-27.92
5547,264436.48,264778.50,0.00,0.23,2.51,2.51,10.91,-27.73
5552,264778.50,265120.52,0.00,0.20,1.86,1.86,9.30,-27.46
5557,265120.52,265462.54,0.00,0.20,1.84,1.84,9.20,-27.39
5562,265462.54,265804.56,0.00,0.21,2.03,2.03,9.67,-27.60
5567,265804.56,266146.58,0.00,0.19,1.59,1.59,8.37,-27.08
5572,266146.58,266488.60,0.00,0.19,1.58,1.58,8.32,-27.07
5577,266488.60,267172.64,0.00,0.18,1.50,1.50,8.33,-27.14
5587,267172.64,267514.66,0.00,,,,,-25.49
5592,267514.66,267856.68,0.00,0.12,0.80,0.80,6.67,-25.45
5597,267856.68,269908.79,0.00,0.10,0.60,0.60,6.00,-25.64
5627,269908.79,270250.81,0.00,0.12,0.83,0.83,6.92,-26.24
5632,270250.81,270592.83,0.00,0.14,0.90,0.90,6.43,-26.38
5637,270592.83,270934.85,0.00,0.11,0.80,0.80,7.27,-26.06
5642,270934.85,271276.87,0.00,0.18,0.97,0.97,5.39,-26.79
5647,271276.87,271618.89,0.00,0.17,1.04,1.04,6.12,-26.82
